,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
9549,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable fat, raw",,,,,,,,,,,,,6.56
9550,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, cooked",,,,,,,,,,,,,7.77
9551,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, raw",,,,,,,,,,,,,6.55
9552,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, cooked",,,,,,,,,,,,,7.31
9553,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.57
9554,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean only, cooked",,,,,,,,,,,,,7.68
9555,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean only, raw",,,,,,,,,,,,,6.54
9556,"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,6.07
9557,"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.3
9558,"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean and fat, cooked, roasted",,,,,,,,,,,,,7.59
9559,"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,7.57
9560,"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.86
9561,"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean only, cooked, roasted",,,,,,,,,,,,,7.51
9562,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",,,,,,,,,,,,,7.93
9563,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,7.92
9564,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.85
9565,"Lamb, New Zealand, imported, frozen, loin, separable lean only, cooked, broiled",,,,,,,,,,,,,7.89
9566,"Lamb, New Zealand, imported, frozen, rib, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted",,,,,,,,,,,,,6.72
9567,"Lamb, new zealand, imported, frozen, rib, separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,6.29
9568,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",,,,,,,,,,,,,6.37
9569,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, cooked, braised",,,,,,,,,,,,,6.26
9570,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, raw",,,,,,,,,,,,,5.46
9571,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean only, cooked, braised",,,,,,,,,,,,,5.85
9572,"Lamb, New Zealand, imported, ground lamb, cooked, braised",,,,,,,,,,,,,3.308
9573,"Lamb, New Zealand, imported, ground lamb, raw",,,,,,,,,,,,,5.011
9574,"Lamb, New Zealand, imported, heart, cooked, soaked and simmered",,,,,,,,,,,,,4.229
9575,"Lamb, New Zealand, imported, heart, raw",,,,,,,,,,,,,5.757
9576,"Lamb, New Zealand, imported, hind-shank, separable lean and fat, cooked, braised",,,,,,,,,,,,,4.133
9577,"Lamb, New Zealand, imported, hind-shank, separable lean and fat, raw",,,,,,,,,,,,,4.388
9578,"Lamb, New Zealand, imported, hind-shank, separable lean only, cooked, braised",,,,,,,,,,,,,4.45
9579,"Lamb, New Zealand, imported, hind-shank, separable lean only, raw",,,,,,,,,,,,,4.852
9580,"Lamb, New Zealand, imported, Intermuscular fat, cooked",,,,,,,,,,,,,1.74
9581,"Lamb, New Zealand, imported, kidney, cooked, soaked and fried",,,,,,,,,,,,,9.064
9582,"Lamb, New Zealand, imported, kidney, raw",,,,,,,,,,,,,8.426
9583,"Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, cooked, fast fried",,,,,,,,,,,,,5.899
9584,"Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, raw",,,,,,,,,,,,,4.635
9585,"Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, cooked, fast fried",,,,,,,,,,,,,6.393
9586,"Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, raw",,,,,,,,,,,,,5.241
9587,"Lamb, New Zealand, imported, liver, cooked, soaked and fried",,,,,,,,,,,,,12.8
9588,"Lamb, New Zealand, imported, liver, raw",,,,,,,,,,,,,13.7
9589,"Lamb, New Zealand, imported, loin chop, separable lean and fat, cooked, fast fried",,,,,,,,,,,,,5.229
9590,"Lamb, New Zealand, imported, loin chop, separable lean and fat, raw",,,,,,,,,,,,,4.152
9591,"Lamb, New Zealand, imported, loin chop, separable lean only, cooked, fast fried",,,,,,,,,,,,,6.651
9592,"Lamb, New Zealand, imported, loin chop, separable lean only, raw",,,,,,,,,,,,,5.397
9593,"Lamb, New Zealand, imported, loin saddle, separable lean and fat, cooked, fast roasted",,,,,,,,,,,,,5.334
9594,"Lamb, New Zealand, imported, loin saddle, separable lean and fat, raw",,,,,,,,,,,,,4.676
9595,"Lamb, New Zealand, imported, loin saddle, separable lean only, cooked, fast roasted",,,,,,,,,,,,,6.436
9596,"Lamb, New Zealand, imported, loin saddle, separable lean only, raw",,,,,,,,,,,,,5.918
9597,"Lamb, New Zealand, imported, loin, boneless, separable lean and fat, cooked, fast roasted",,,,,,,,,,,,,7.126
9598,"Lamb, New Zealand, imported, loin, boneless, separable lean and fat, raw",,,,,,,,,,,,,6.338
9599,"Lamb, New Zealand, imported, loin, boneless, separable lean only, cooked, fast roasted",,,,,,,,,,,,,7.133
9600,"Lamb, New Zealand, imported, loin, boneless, separable lean only, raw",,,,,,,,,,,,,6.356
9601,"Lamb, New Zealand, imported, neck chops, separable lean and fat, cooked, braised",,,,,,,,,,,,,3.855
9602,"Lamb, New Zealand, imported, neck chops, separable lean and fat, raw",,,,,,,,,,,,,3.801
9603,"Lamb, New Zealand, imported, neck chops, separable lean only, cooked, braised",,,,,,,,,,,,,4.151
9604,"Lamb, New Zealand, imported, neck chops, separable lean only, raw",,,,,,,,,,,,,4.297
9605,"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean and fat, cooked, slow roasted",,,,,,,,,,,,,3.739
9606,"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean and fat, raw",,,,,,,,,,,,,4.352
9607,"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean only, cooked, slow roasted",,,,,,,,,,,,,4.279
9608,"Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean only, raw",,,,,,,,,,,,,5.204
9609,"Lamb, New Zealand, imported, rack - fully frenched, separable lean and fat, cooked, fast roasted",,,,,,,,,,,,,6.037
9610,"Lamb, New Zealand, imported, rack - fully frenched, separable lean and fat, raw",,,,,,,,,,,,,5.024
9611,"Lamb, New Zealand, imported, rack - fully frenched, separable lean only, cooked, fast roasted",,,,,,,,,,,,,6.267
9612,"Lamb, New Zealand, imported, rack - fully frenched, separable lean only, raw",,,,,,,,,,,,,5.208
9613,"Lamb, New Zealand, imported, rack - partly frenched, separable lean and fat, cooked, fast roasted",,,,,,,,,,,,,6.019
9614,"Lamb, New Zealand, imported, rack - partly frenched, separable lean and fat, raw",,,,,,,,,,,,,5.032
9615,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",,,,,,,,,,,,,6.705
9616,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",,,,,,,,,,,,,5.749
9617,"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, cooked, braised",,,,,,,,,,,,,2.674
9618,"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, raw",,,,,,,,,,,,,3.25
9619,"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean only, cooked, braised",,,,,,,,,,,,,2.897
9620,"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean only, raw",,,,,,,,,,,,,3.862
9621,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, cooked, slow roasted",,,,,,,,,,,,,3.618
9622,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",,,,,,,,,,,,,2.916
9623,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, cooked, slow roasted",,,,,,,,,,,,,4.238
9624,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",,,,,,,,,,,,,3.463
9625,"Lamb, New Zealand, imported, subcutaneous fat, cooked",,,,,,,,,,,,,1.53
9626,"Lamb, New Zealand, imported, sweetbread, cooked, soaked and simmered",,,,,,,,,,,,,1.375
9627,"Lamb, New Zealand, imported, sweetbread, raw",,,,,,,,,,,,,1.342
9628,"Lamb, New Zealand, imported, tenderloin, separable lean and fat, cooked, fast fried",,,,,,,,,,,,,9.074
9629,"Lamb, New Zealand, imported, tenderloin, separable lean and fat, raw",,,,,,,,,,,,,7.262
9630,"Lamb, New Zealand, imported, tenderloin, separable lean only, cooked, fast fried",,,,,,,,,,,,,9.099
9631,"Lamb, New Zealand, imported, tenderloin, separable lean only, raw",,,,,,,,,,,,,7.301
9632,"Lamb, New Zealand, imported, testes, cooked, soaked and fried",,,,,,,,,,,,,2.224
9633,"Lamb, New Zealand, imported, testes, raw",,,,,,,,,,,,,1.744
9634,"Lamb, New Zealand, imported, tongue - swiss cut, cooked, soaked and simmered",,,,,,,,,,,,,2.272
9635,"Lamb, New Zealand, imported, tongue - swiss cut, raw",,,,,,,,,,,,,3.078
9636,"Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean and fat, cooked, slow roasted",,,,,,,,,,,,,5.457
9637,"Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean and fat, raw",,,,,,,,,,,,,5.234
9638,"Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean only, cooked, slow roasted",,,,,,,,,,,,,5.892
9639,"Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean only, raw",,,,,,,,,,,,,5.234
9640,"Lamb, rib, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,7.0
9641,"Lamb, rib, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.75
9642,"Lamb, rib, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.09
9643,"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.92
9644,"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.67
9645,"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.06
9646,"Lamb, rib, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.55
9647,"Lamb, rib, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.16
9648,"Lamb, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.89
9649,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,6.66
9650,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,7.02
9651,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.66
9652,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.09
9653,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,,,,,,,,,,,,6.61
9654,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,6.08
9655,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, roasted",,,,,,,,,,,,,6.62
9656,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",,,,,,,,,,,,,6.99
9657,"Lamb, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,6.33
9658,"Lamb, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.81
9659,"Lamb, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.34
9660,"Lamb, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,6.0
9661,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,6.04
9662,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.38
9663,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,5.91
9664,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.43
9665,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,,,,,,,,,,,,6.0
9666,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.33
9667,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,5.84
9668,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,5.4
9669,"Lamb, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,5.63
9670,"Lamb, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.07
9671,"Lamb, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,5.47
9672,"Lamb, shoulder, blade, separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.19
9673,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,6.33
9674,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.45
9675,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.15
9676,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.66
9677,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",,,,,,,,,,,,,6.15
9678,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.49
9679,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",,,,,,,,,,,,,6.04
9680,"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, choice, raw",,,,,,,,,,,,,5.62
9681,"Lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, braised",,,,,,,,,,,,,5.96
9682,"Lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",,,,,,,,,,,,,6.15
9683,"Lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted",,,,,,,,,,,,,5.76
9684,"Lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, raw",,,,,,,,,,,,,5.45
9685,"Lamb, variety meats and by-products, brain, cooked, braised",,,,,,,,,,,,,2.47
9686,"Lamb, variety meats and by-products, brain, cooked, pan-fried",,,,,,,,,,,,,4.55
9687,"Lamb, variety meats and by-products, brain, raw",,,,,,,,,,,,,3.9
9688,"Lamb, variety meats and by-products, heart, cooked, braised",,,,,,,,,,,,,4.36
9689,"Lamb, variety meats and by-products, heart, raw",,,,,,,,,,,,,6.14
9690,"Lamb, variety meats and by-products, kidneys, cooked, braised",,,,,,,,,,,,,5.99
9691,"Lamb, variety meats and by-products, kidneys, raw",,,,,,,,,,,,,7.51
9692,"Lamb, variety meats and by-products, liver, cooked, braised",,,,,,,,,,,,,12.15
9693,"Lamb, variety meats and by-products, liver, cooked, pan-fried",,,,,,,,,,,,,16.68
9694,"Lamb, variety meats and by-products, liver, raw",,,,,,,,,,,,,16.11
9695,"Lamb, variety meats and by-products, lungs, cooked, braised",,,,,,,,,,,,,2.428
9696,"Lamb, variety meats and by-products, lungs, raw",,,,,,,,,,,,,4.124
9697,"Lamb, variety meats and by-products, mechanically separated, raw",,,,,,,,,,,,,2.546
9698,"Lamb, variety meats and by-products, pancreas, cooked, braised",,,,,,,,,,,,,2.56
9699,"Lamb, variety meats and by-products, pancreas, raw",,,,,,,,,,,,,3.7
9700,"Lamb, variety meats and by-products, spleen, cooked, braised",,,,,,,,,,,,,5.868
9701,"Lamb, variety meats and by-products, spleen, raw",,,,,,,,,,,,,7.895
9702,"Lamb, variety meats and by-products, tongue, cooked, braised",,,,,,,,,,,,,3.69
9703,"Lamb, variety meats and by-products, tongue, raw",,,,,,,,,,,,,4.65
9704,"Lambsquarters, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.9
9705,"Lambsquarters, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.9
9706,"Lambsquarters, raw (Northern Plains Indians)",,,,,,,,,,,,,0.79
9707,"Lambsquarters, steamed (Northern Plains Indians)",,,,,,,,,,,,,0.623
9708,"Lasagna with meat  &  sauce, frozen entree",,,,,,,,,,,,,1.426
9709,"Lasagna with meat  &  sauce, low-fat, frozen entree",,,,,,,,,,,,,1.221
9710,"Lasagna with meat sauce, frozen, prepared",,,,,,,,,,,,,1.528
9711,"Lasagna, cheese, frozen, prepared",,,,,,,,,,,,,1.361
9712,"Lasagna, cheese, frozen, unprepared",,,,,,,,,,,,,1.354
9713,"Lasagna, Vegetable, frozen, baked",,,,,,,,,,,,,0.81
9714,"LEAN POCKETS, Ham N Cheddar",,,,,,,,,,,,,3.462
9715,"Lean Pockets, Meatballs  &  Mozzarella",,,,,,,,,,,,,2.982
9716,"Leavening agents, yeast, baker's, active dry",,,,,,,,,,,,,40.2
9717,"Leavening agents, yeast, baker's, compressed",,,,,,,,,,,,,12.3
9718,"Lebanon bologna, beef",,,,,,,,,,,,,3.223
9719,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",,,,,,,,,,,,,0.2
9720,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",,,,,,,,,,,,,0.2
9721,"Leeks, (bulb and lower leaf-portion), raw",,,,,,,,,,,,,0.4
9722,"Leeks, (bulb and lower-leaf portion), freeze-dried",,,,,,,,,,,,,3.5
9723,"Lemon grass (citronella), raw",,,,,,,,,,,,,1.101
9724,"Lemon juice from concentrate, bottled, CONCORD",,,,,,,,,,,,,0.197
9725,"Lemon juice from concentrate, bottled, REAL LEMON",,,,,,,,,,,,,0.18
9726,"Lemon juice from concentrate, canned or bottled",,,,,,,,,,,,,0.18
9727,"Lemon juice, raw",,,,,,,,,,,,,0.091
9728,"Lemon peel, raw",,,,,,,,,,,,,0.4
9729,"Lemonade, frozen concentrate, pink",,,,,,,,,,,,,0.12
9730,"Lemonade, frozen concentrate, white",,,,,,,,,,,,,0.11
9731,"Lemonade, frozen concentrate, white, prepared with water",,,,,,,,,,,,,0.016
9732,"Lemonade, powder, prepared with water",,,,,,,,,,,,,0.005
9733,"Lemons, raw, without peel",,,,,,,,,,,,,0.1
9734,"Lentils, mature seeds, cooked, boiled, with salt",,,,,,,,,,,,,1.06
9735,"Lentils, mature seeds, cooked, boiled, without salt",,,,,,,,,,,,,1.06
9736,"Lentils, pink or red, raw",,,,,,,,,,,,,1.495
9737,"Lentils, raw",,,,,,,,,,,,,2.605
9738,"Lentils, sprouted, raw",,,,,,,,,,,,,1.128
9739,"Lettuce, butterhead (includes boston and bibb types), raw",,,,,,,,,,,,,0.357
9740,"Lettuce, cos or romaine, raw",,,,,,,,,,,,,0.313
9741,"Lettuce, green leaf, raw",,,,,,,,,,,,,0.375
9742,"Lettuce, iceberg (includes crisphead types), raw",,,,,,,,,,,,,0.123
9743,"Lettuce, red leaf, raw",,,,,,,,,,,,,0.321
9744,"Light Ice Cream, soft serve, blended with cookie pieces",,,,,,,,,,,,,0.264
9745,"Light Ice Cream, soft serve, blended with milk chocolate candies",,,,,,,,,,,,,0.139
9746,"Lima beans, immature seeds, canned, no salt added, solids and liquids",,,,,,,,,,,,,0.532
9747,"Lima beans, immature seeds, canned, regular pack, solids and liquids",,,,,,,,,,,,,0.532
9748,"Lima beans, immature seeds, cooked, boiled, drained, with salt",,,,,,,,,,,,,1.04
9749,"Lima beans, immature seeds, cooked, boiled, drained, without salt",,,,,,,,,,,,,1.04
9750,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, with salt",,,,,,,,,,,,,0.77
9751,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",,,,,,,,,,,,,0.77
9752,"Lima beans, immature seeds, frozen, baby, unprepared",,,,,,,,,,,,,1.023
9753,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",,,,,,,,,,,,,1.069
9754,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",,,,,,,,,,,,,1.069
9755,"Lima beans, immature seeds, frozen, fordhook, unprepared",,,,,,,,,,,,,1.187
9756,"Lima beans, immature seeds, raw",,,,,,,,,,,,,1.474
9757,"Lima beans, large, mature seeds, canned",,,,,,,,,,,,,0.261
9758,"Lima beans, large, mature seeds, cooked, boiled, with salt",,,,,,,,,,,,,0.421
9759,"Lima beans, large, mature seeds, cooked, boiled, without salt",,,,,,,,,,,,,0.421
9760,"Lima beans, large, mature seeds, raw",,,,,,,,,,,,,1.537
