,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
181,"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",3.0 oz,0.264,,,,,,,,,,,
182,"POPEYES, Mild Chicken Strips, analyzed 2006",1.0 strip,0.262,,,,,,,,,,,
183,"Lima beans, immature seeds, frozen, baby, unprepared",1.0 cups,0.262,,,,,,,,,,,
184,"Turnip greens, cooked, boiled, drained, without salt","1.0 cups, chopped",0.259,,,,,,,,,,,
185,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,0.258,,,,,,,,,,,
186,"Fish, salmon, pink, canned, without salt, solids with bone and liquid",3.0 oz,0.255,,,,,,,,,,,
187,"Fish, grouper, mixed species, raw",3.0 oz,0.255,,,,,,,,,,,
188,"Squash, winter, butternut, cooked, baked, without salt","1.0 cups, cubes",0.254,,,,,,,,,,,
189,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",3.0 oz,0.247,,,,,,,,,,,
190,"Veal, breast, whole, boneless, separable lean only, cooked, braised",3.0 oz,0.246,,,,,,,,,,,
191,"Sausage, turkey, fresh, raw",1.0 serving,0.246,,,,,,,,,,,
192,"Peas, green, raw",1.0 cups,0.245,,,,,,,,,,,
193,"Frankfurter, pork",1.0 link,0.245,,,,,,,,,,,
194,"Teff, cooked",1.0 cups,0.244,,,,,,,,,,,
195,"Squash, winter, hubbard, cooked, boiled, mashed, with salt","1.0 cups, mashed",0.243,,,,,,,,,,,
196,"Squash, winter, hubbard, cooked, boiled, mashed, without salt","1.0 cups, mashed",0.243,,,,,,,,,,,
197,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",3.0 oz,0.242,,,,,,,,,,,
198,"Peas and carrots, frozen, cooked, boiled, drained, without salt",1.0 package (10 oz) yields,0.242,,,,,,,,,,,
199,"Fish, cod, Atlantic, canned, solids and liquid",3.0 oz,0.24,,,,,,,,,,,
